prefecture_code,prefecture_name,municipality_type,municipality_name_ja,municipality_name_en,osm_query_name,priority,notes
14,Kanagawa,city,横浜市,Yokohama,"Yokohama, Kanagawa, Japan",high,"政令指定都市。区が多く道路密度が高い"
14,Kanagawa,city,川崎市,Kawasaki,"Kawasaki, Kanagawa, Japan",high,"東京都境界に近く跨ぎ経路の確認候補"
14,Kanagawa,city,相模原市,Sagamihara,"Sagamihara, Kanagawa, Japan",high,"政令指定都市。都市部と郊外の混在を確認しやすい"
14,Kanagawa,city,横須賀市,Yokosuka,"Yokosuka, Kanagawa, Japan",medium,"海沿い地形を含み経路の偏り確認に使える"
14,Kanagawa,city,平塚市,Hiratsuka,"Hiratsuka, Kanagawa, Japan",medium,"中規模都市として初期比較に使いやすい"
14,Kanagawa,city,鎌倉市,Kamakura,"Kamakura, Kanagawa, Japan",medium,"観光地かつ狭い道路が多い可能性がある"
14,Kanagawa,city,藤沢市,Fujisawa,"Fujisawa, Kanagawa, Japan",high,"住宅地と沿岸部が混在しラストマイル想定と相性が良い"
14,Kanagawa,city,小田原市,Odawara,"Odawara, Kanagawa, Japan",medium,"県西部の代表都市として使いやすい"
14,Kanagawa,city,茅ヶ崎市,Chigasaki,"Chigasaki, Kanagawa, Japan",medium,"湘南エリアの連続性確認に使える"
14,Kanagawa,city,逗子市,Zushi,"Zushi, Kanagawa, Japan",low,"近隣自治体との接続確認用"
14,Kanagawa,city,三浦市,Miura,"Miura, Kanagawa, Japan",low,"半島先端部での道路網確認に使える"
14,Kanagawa,city,秦野市,Hadano,"Hadano, Kanagawa, Japan",low,"内陸部の道路網確認に使える"
14,Kanagawa,city,厚木市,Atsugi,"Atsugi, Kanagawa, Japan",medium,"物流拠点の文脈と相性が良い"
14,Kanagawa,city,大和市,Yamato,"Yamato, Kanagawa, Japan",medium,"都市部の連続性確認に使いやすい"
14,Kanagawa,city,伊勢原市,Isehara,"Isehara, Kanagawa, Japan",low,"内陸部の補助候補"
14,Kanagawa,city,海老名市,Ebina,"Ebina, Kanagawa, Japan",medium,"県央エリアの接続確認に使いやすい"
14,Kanagawa,city,座間市,Zama,"Zama, Kanagawa, Japan",low,"県央エリアの近接自治体比較用"
14,Kanagawa,city,南足柄市,Minamiashigara,"Minamiashigara, Kanagawa, Japan",low,"県西部の補助候補"
14,Kanagawa,city,綾瀬市,Ayase,"Ayase, Kanagawa, Japan",low,"県央エリアの補助候補"
14,Kanagawa,town,葉山町,Hayama,"Hayama, Kanagawa, Japan",low,"沿岸部の町として接続確認に使える"
14,Kanagawa,town,寒川町,Samukawa,"Samukawa, Kanagawa, Japan",low,"平野部の町として比較用"
14,Kanagawa,town,大磯町,Oiso,"Oiso, Kanagawa, Japan",low,"沿岸部の町として比較用"
14,Kanagawa,town,二宮町,Ninomiya,"Ninomiya, Kanagawa, Japan",low,"県西沿岸部の補助候補"
14,Kanagawa,town,中井町,Nakai,"Nakai, Kanagawa, Japan",low,"内陸の町として比較用"
14,Kanagawa,town,大井町,Oi,"Oi, Kanagawa, Japan",low,"名称が短いため OSM クエリ時の確認が必要"
14,Kanagawa,town,松田町,Matsuda,"Matsuda, Kanagawa, Japan",low,"県西部の町として比較用"
14,Kanagawa,town,山北町,Yamakita,"Yamakita, Kanagawa, Japan",low,"山間部を含む可能性がある"
14,Kanagawa,town,開成町,Kaisei,"Kaisei, Kanagawa, Japan",low,"県西部の近接自治体比較用"
14,Kanagawa,town,箱根町,Hakone,"Hakone, Kanagawa, Japan",medium,"観光地かつ地形制約が強く拡張確認に有用"
14,Kanagawa,town,真鶴町,Manazuru,"Manazuru, Kanagawa, Japan",low,"海沿い端部の道路網確認に使える"
14,Kanagawa,town,湯河原町,Yugawara,"Yugawara, Kanagawa, Japan",low,"県境近くの接続確認候補"
14,Kanagawa,town,愛川町,Aikawa,"Aikawa, Kanagawa, Japan",low,"内陸部の町として比較用"
14,Kanagawa,village,清川村,Kiyokawa,"Kiyokawa, Kanagawa, Japan",low,"村であり山間部検証に使える"
