transaction_id,delivery_date,destination_name,destination_address,package_count,delivery_time_slot_code
TXN_BDD640FB,2026-05-25,ファミリーマート,神奈川県相模原市南区古淵一丁目13,3,1
TXN_1A3D1FA7,2026-05-25,ファミリーマート,神奈川県大和市中央林間四丁目20,5,1
TXN_07A0CA6E,2026-05-25,ファミリーマート,神奈川県相模原市緑区小渕2,1,1
TXN_06CB0FB3,2026-05-25,セブン-イレブン,神奈川県大和市深見西二丁目4,5,1
TXN_8B8148F6,2026-05-25,ファミリーマート,神奈川県大和市深見西二丁目2,4,1
TXN_CF36D58B,2026-05-25,ローソンストア100,神奈川県大和市深見東一丁目13,1,1
TXN_47229389,2026-05-25,ファミリーマート,神奈川県厚木市元町25,2,1
TXN_1A2A73ED,2026-05-25,ファミリーマート,神奈川県厚木市下荻野4,1,2
TXN_580D7B71,2026-05-25,ファミリーマート,神奈川県横浜市港北区菊名六丁目12,5,2
TXN_759CDE66,2026-05-25,ローソン,神奈川県横浜市神奈川区反町二丁目6,5,1
TXN_142C3FE8,2026-05-25,ファミリーマート,神奈川県相模原市南区相模台五丁目7,5,2
TXN_E2ACF72F,2026-05-25,セブン-イレブン,神奈川県横浜市青葉区奈良町,3,3
TXN_0BBB2599,2026-05-25,ファミリーマート,神奈川県横浜市鶴見区生麦三丁目21,2,2
TXN_3B982EF8,2026-05-25,ファミリーマート,神奈川県横浜市中区根岸町一丁目,1,2
TXN_D58842DE,2026-05-25,セブン-イレブン,神奈川県横浜市磯子区岡村521,3,1
TXN_AB9099A4,2026-05-25,ファミリーマート,神奈川県川崎市中原区,3,3
TXN_12476F57,2026-05-25,ファミリーマート,神奈川県厚木市旭町二丁目14,5,3
TXN_3EABEDCB,2026-05-25,ローソン,神奈川県横浜市港北区綱島西12,2,2
TXN_ECE66FA2,2026-05-25,ミニストップ,神奈川県厚木市旭町四丁目1,5,1
TXN_C4B032CC,2026-05-25,厚木旭郵便局,神奈川県厚木市泉町11,1,1
TXN_50C187FC,2026-05-25,厚木旭町五郵便局,神奈川県厚木市旭町5丁目3,4,2
TXN_F16287E4,2026-05-25,セブン-イレブン,神奈川県海老名市大谷北1丁目21,5,3
TXN_7FCD9EB1,2026-05-25,セブン-イレブン,神奈川県海老名市中央1丁目1,4,3
TXN_23BED01D,2026-05-25,セブン-イレブン,神奈川県相模原市南区上鶴間本町五丁目2,2,3
TXN_BF3C4C06,2026-05-25,ファミリーマート,神奈川県厚木市岡田一丁目17,5,2
TXN_5CABCC97,2026-05-25,ファミリーマート,神奈川県厚木市中町二丁目5,2,1
TXN_C17AF08A,2026-05-25,ファミリーマート,神奈川県川崎市多摩区登戸2,1,1
TXN_CAC5B68C,2026-05-25,セブン-イレブン,神奈川県横浜市港南区港南台二丁目,4,3
TXN_988C24C9,2026-05-25,みずほ銀行,神奈川県相模原市松が枝町1,4,3
TXN_DC5C0EED,2026-05-25,ファミリーマート,神奈川県座間市相武台三丁目43,1,3
TXN_E2817EFD,2026-05-25,ファミリーマート,神奈川県川崎市麻生区上麻生五丁目30,5,2
TXN_1C8EAEE9,2026-05-25,ファミリーマート,神奈川県座間市相模が丘一丁目22,3,2
TXN_F42D47CC,2026-05-25,ファミリーマート,神奈川県川崎市麻生区上麻生五丁目1,3,3
TXN_E9A1FA6F,2026-05-25,ファミリーマート,神奈川県相模原市南区相模大野七丁目10,1,3
TXN_81F631D4,2026-05-25,セブン-イレブン,神奈川県相模原市南区相模大野七丁目3,5,1
TXN_295B4715,2026-05-25,ファミリーマート,神奈川県川崎市多摩区,5,3
TXN_52FBE43B,2026-05-25,ファミリーマート,神奈川県川崎市多摩区宿河原三丁目4,4,1
TXN_E0F3EAB0,2026-05-25,セブン-イレブン,神奈川県大和市上草柳一丁目7,3,1
TXN_913E4DE2,2026-05-25,ファミリーマート,神奈川県座間市相模が丘二丁目13,1,1
TXN_11B7E948,2026-05-25,ローソン・スリーエフ,神奈川県海老名市泉1丁目6,5,1
TXN_F264ACCC,2026-05-25,ローソン,神奈川県座間市入谷西5丁目17,5,1
TXN_9B49BD26,2026-05-25,デイリーヤマザキ,神奈川県横浜市西区みなとみらい一丁目1,4,1
TXN_BADCC32A,2026-05-25,セブン-イレブン,神奈川県横浜市港北区高田東317,2,3
TXN_ABF3AD39,2026-05-25,ファミリーマート,神奈川県横浜市青葉区市ケ尾町10,3,2
TXN_1EFA2197,2026-05-25,ローソン,神奈川県相模原市南区相南435,2,1
TXN_969B6662,2026-05-25,セブン-イレブン,神奈川県大和市渋谷五丁目1,5,1
TXN_122C9A56,2026-05-25,厚木東町郵便局,神奈川県厚木市厚木町1-102,1,1
TXN_DC1110C1,2026-05-25,ファミリーマート,神奈川県川崎市麻生区百合丘三丁目19,3,1
TXN_AB4220A7,2026-05-25,江田駅前薬局,青葉区荏田町3,4,1
TXN_EF7DDC76,2026-05-25,ファミリーマート,神奈川県横浜市鶴見区矢向 一丁目15,5,3
TXN_7914C120,2026-05-25,ファミリーマート,神奈川県横浜市青葉区美しが丘二丁目3,4,1
TXN_6E595ED3,2026-05-25,セブン-イレブン,神奈川県横浜市西区みなとみらい3丁目3,3,2
TXN_BAA4B71A,2026-05-25,ファミリーマート,神奈川県秦野市本町二丁目1,1,3
TXN_1931E9EE,2026-05-25,ファミリーマート,神奈川県横浜市鶴見区岸谷一丁目9,1,2
TXN_DC96925E,2026-05-25,ローソン・スリーエフ,神奈川県横浜市鶴見区向井町1丁目1,1,1
TXN_72D8567D,2026-05-25,ファミリーマート,神奈川県川崎市高津区向ケ丘1,2,2
TXN_3FF350BF,2026-05-25,ローソン,神奈川県海老名市河原口4丁目8,1,2
TXN_8CE21EA3,2026-05-25,ファミリーマート,神奈川県横浜市泉区緑園三丁目1,1,1
TXN_D605E770,2026-05-25,セブン-イレブン,神奈川県横浜市泉区緑園11,1,1
TXN_3C835DC0,2026-05-25,ファミリーマート,神奈川県相模原市南区上鶴間本町八丁目5,2,2
TXN_DD59BA71,2026-05-25,江ノ島郵便局,神奈川県藤沢市江の島,4,1
TXN_FC3D3348,2026-05-25,ファミリーマート,神奈川県横浜市青葉区奈良一丁目1,4,2
TXN_747B6DBA,2026-05-25,ファミリーマート,神奈川県川崎市宮前区鷺沼三丁目20,3,2
TXN_FED4057D,2026-05-25,ローソン・スリーエフ,神奈川県座間市栗原中央2丁目15,5,3
TXN_309D258C,2026-05-25,セブン-イレブン,神奈川県横浜市緑区長津田七丁目1号,3,1
TXN_BC594585,2026-05-25,ローソン,神奈川県横浜市中区本町四丁目,5,1
TXN_0CD620C2,2026-05-25,セブン-イレブン,神奈川県大和市渋谷八丁目1,5,2
TXN_87F7E1FB,2026-05-25,ローソン・スリーエフ,神奈川県海老名市杉久保南1丁目19,2,1
TXN_D9F195D0,2026-05-25,セブン-イレブン,神奈川県川崎市高津区下作延３１７,2,1
TXN_DCA02EEC,2026-05-25,ファミリーマート,神奈川県相模原市南区相模大野八丁目6,2,2
TXN_91D63F78,2026-05-25,ローソン,神奈川県大和市鶴間二丁目24,2,3
TXN_14FCDD54,2026-05-25,ファミリーマート,神奈川県横浜市南区宮元町四丁目,4,3
TXN_50FD9D3F,2026-05-25,ファミリーマート,神奈川県横浜市南区井土ヶ谷中町,3,1
TXN_3D1A85DD,2026-05-25,ファミリーマート,神奈川県川崎市高津区久本二丁目15,3,2
TXN_4CCC9BC2,2026-05-25,横浜妙蓮寺郵便局,神奈川県横浜市港北区菊名一丁目9,4,2
TXN_12922F83,2026-05-25,セブン-イレブン,神奈川県横浜市港北区仲手原二丁目,1,2
TXN_FF002D4D,2026-05-25,セブン-イレブン,神奈川県横浜市港北区仲手原二丁目45,1,1
TXN_43E42CAF,2026-05-25,ローソン・スリーエフ,神奈川県横浜市港北区菊名一丁目23,2,2
TXN_3E896C64,2026-05-25,セブン-イレブン,神奈川県横浜市神奈川区六角橋一丁目7,3,2
TXN_8B10550C,2026-05-25,ローソン,神奈川県横浜市港北区篠原台町1,3,3
TXN_A76AFDE6,2026-05-25,ファミリーマート,神奈川県大和市草柳三丁目1,5,1
TXN_4CA415EA,2026-05-25,セブン-イレブン,神奈川県横浜市神奈川区白幡向町16,1,1
TXN_1B66B5A9,2026-05-25,セブン-イレブン,神奈川県横浜市瀬谷区中央16,5,1
TXN_35EBD32D,2026-05-25,ハックドラッグ,神奈川県横浜市瀬谷区中央10,3,1
TXN_439472E6,2026-05-25,横浜銀行,神奈川県横浜市瀬谷区中央15,5,2
TXN_D89A40C0,2026-05-25,港北郵便局,横浜市港北区菊名6丁目20−18,1,1
TXN_46D483F3,2026-05-25,かしわ台駅前郵便局,神奈川県海老名市柏ケ谷3,1,1
TXN_A319DCB4,2026-05-25,さがみ野駅前郵便局,神奈川県座間市さがみ野2丁目23,3,1
TXN_B4A69F3C,2026-05-25,北下浦郵便局,神奈川県横須賀市グリーンハイツ8,4,3
TXN_F1EEDBA3,2026-05-25,南万騎が原駅前郵便局,神奈川県横浜市旭区柏町10,2,3
TXN_951F58D0,2026-05-25,南足柄郵便局,小田原山北線,5,1
TXN_4EEA04E7,2026-05-25,厚木北郵便局,神奈川県厚木市下荻野,3,1
TXN_AE9BEC36,2026-05-25,厚木愛甲郵便局,神奈川県厚木市愛甲西3丁目14,2,3
TXN_8F5486B7,2026-05-25,厚木森の里郵便局,神奈川県厚木市森の里1丁目3,4,3
TXN_EE0CAEB5,2026-05-25,厚木鳶尾郵便局,神奈川県厚木市鳶尾2丁目,2,1
TXN_2D534DD0,2026-05-25,幕山公園通郵便局,神奈川県湯河原町中央二丁目15,4,1
TXN_550A1B46,2026-05-25,吉野郵便局,神奈川県相模原市緑区吉野,4,3
TXN_3F87E362,2026-05-25,和田河原駅前郵便局,神奈川県南足柄市和田河原1,3,1
TXN_61EE411A,2026-05-25,国分郵便局,神奈川県海老名市国分南2丁目1,1,2
TXN_EB1FA9F2,2026-05-25,大塚本町郵便局,神奈川県海老名市東柏ケ谷1丁目2,4,2
