strategy,check,status,detail
A,全配送先訪問,PASS,対象 853 件すべて訪問済み
A,各配送先1回のみ訪問,PASS,重複なし
A,積載上限,PASS,車両1: 50個/50個  車両2: 50個/50個  車両3: 50個/50個  車両4: 50個/50個  車両5: 50個/50個  車両6: 50個/50個  車両7: 50個/50個  車両8: 50個/50個  車両9: 50個/50個  車両10: 50個/50個  車両11: 50個/50個  車両12: 50個/50個  車両13: 50個/50個  車両14: 50個/50個  車両15: 50個/50個  車両16: 50個/50個  車両17: 50個/50個  車両18: 50個/50個  車両19: 50個/50個  車両20: 50個/50個  車両21: 50個/50個  車両22: 50個/50個  車両23: 50個/50個  車両24: 50個/50個  車両25: 50個/50個  車両26: 50個/50個  車両27: 50個/50個  車両28: 50個/50個  車両29: 50個/50個  車両30: 50個/50個  車両31: 50個/50個  車両32: 50個/50個  車両33: 50個/50個  車両34: 50個/50個  車両35: 50個/50個  車両36: 50個/50個  車両37: 50個/50個  車両38: 50個/50個  車両39: 50個/50個  車両40: 50個/50個  車両41: 50個/50個  車両42: 50個/50個  車両43: 50個/50個  車両44: 50個/50個  車両45: 50個/50個  車両46: 49個/50個  車両47: 50個/50個  車両48: 50個/50個  車両49: 50個/50個  車両50: 50個/50個  車両51: 50個/50個  車両52: 50個/50個  車両53: 50個/50個  車両54: 49個/50個  車両56: 49個/50個  車両60: 49個/50個
A,時間帯制約・午前（13:00まで）,PASS,午前指定 281 件すべて充足
A,時間帯制約・午後（13:00以降）,PASS,午後指定 271 件すべて充足
A,業務終了時刻（19:00帰着）,PASS,車両1: 13:44帰着  車両2: 14:02帰着  車両3: 13:26帰着  車両4: 17:05帰着  車両5: 17:33帰着  車両6: 15:34帰着  車両7: 11:23帰着  車両8: 14:34帰着  車両9: 14:38帰着  車両10: 14:21帰着  車両11: 15:29帰着  車両12: 14:26帰着  車両13: 10:47帰着  車両14: 13:59帰着  車両15: 10:32帰着  車両16: 14:25帰着  車両17: 15:30帰着  車両18: 14:46帰着  車両19: 14:17帰着  車両20: 14:10帰着  車両21: 14:43帰着  車両22: 13:54帰着  車両23: 14:15帰着  車両24: 10:16帰着  車両25: 13:43帰着  車両26: 14:21帰着  車両27: 13:56帰着  車両28: 14:18帰着  車両29: 14:34帰着  車両30: 09:59帰着  車両31: 14:43帰着  車両32: 14:32帰着  車両33: 13:49帰着  車両34: 13:53帰着  車両35: 14:19帰着  車両36: 15:18帰着  車両37: 14:19帰着  車両38: 14:18帰着  車両39: 13:57帰着  車両40: 14:12帰着  車両41: 09:41帰着  車両42: 14:31帰着  車両43: 13:11帰着  車両44: 14:02帰着  車両45: 14:02帰着  車両46: 13:57帰着  車両47: 14:00帰着  車両48: 13:51帰着  車両49: 14:51帰着  車両50: 13:06帰着  車両51: 13:22帰着  車両52: 13:30帰着  車両53: 13:30帰着  車両54: 13:01帰着  車両56: 13:37帰着  車両60: 13:27帰着
A,デポ出発・帰着,PASS,全車両がデポ始発・終着
A,使用台数 ≤ 上限(60台),PASS,使用: 56台
A,コスト内訳整合,PASS,"固定費 ¥560,000 + 距離費 ¥602,037 = ¥1,162,037"
B,全配送先訪問,PASS,対象 853 件すべて訪問済み
