strategy,vehicle_id,stop_seq,location_type,location_id,address,arrival_min,arrival_time,package_count,time_slot_code,time_slot_ok
A,1,0,depot,DEPOT_002,depot,0,08:00,0,,
A,1,1,destination,24326cd7-cbe0-4045-b228-1e243c6a88cf,神奈川県横浜市鶴見区矢向五丁目35,5,08:05,3,1.0,True
A,1,2,destination,794f9475-90b5-4a1c-82c4-26e137147b0c,神奈川県横浜市鶴見区矢向五丁目30,5,08:05,1,3.0,True
A,1,3,destination,b638fe47-a278-4062-af3b-7ed90d143e19,神奈川県川崎市中原区新丸子町,17,08:17,4,1.0,True
A,1,4,destination,50579376-0986-40cb-8d56-f555479e0be7,神奈川県川崎市中原区小杉町1別館1F,18,08:18,5,1.0,True
A,1,5,destination,e36e4722-7b46-4bab-be20-bd01304578ef,神奈川県川崎市中原区上小田中六丁目9,21,08:21,5,1.0,True
A,1,6,destination,5e1a0731-07b6-4d8d-ba07-f88f05585f40,神奈川県川崎市中原区上新城二丁目7,300,13:00,5,2.0,True
A,1,7,destination,dbb157f1-f010-47c4-8af1-95e1847321f1,神奈川県川崎市高津区溝口一丁目22,305,13:05,1,3.0,True
A,1,8,destination,6390d8ba-9095-472f-9467-be9d85554b6b,神奈川県川崎市高津区二子四丁目6,307,13:07,3,3.0,True
A,1,9,destination,ed3ad0b9-9d67-432f-8664-2d4c23424f9f,神奈川県川崎市高津区諏訪一丁目3,309,13:09,1,3.0,True
A,1,10,destination,8c2fd699-dd73-4d4a-b8c8-8962b9cd3840,神奈川県川崎市高津区溝口三丁目8号,312,13:12,1,3.0,True
A,1,11,destination,4a32a6fe-4a6d-4afc-9a8a-1ac216e886cc,神奈川県川崎市高津区溝口1丁目5,314,13:14,3,2.0,True
A,1,12,destination,3c2c9ec0-c005-46a3-bead-965a738b8b91,神奈川県川崎市高津区久本二丁目15,315,13:15,3,2.0,True
A,1,13,destination,89f7f885-f993-44e0-9b53-0fd1d201a218,神奈川県川崎市中原区新城一丁目7,320,13:20,1,3.0,True
A,1,14,destination,098a80ae-e19f-471a-b09c-e08278136fa0,神奈川県川崎市中原区小杉町3丁目5,326,13:26,4,2.0,True
A,1,15,destination,272d22aa-ddd0-4a5f-81d8-3e842edf6e45,神奈川県川崎市中原区市ノ坪581,330,13:30,3,2.0,True
A,1,16,destination,4f54197d-a2e2-407d-aeb9-bbc916463571,神奈川県川崎市中原区田尻町1,332,13:32,1,3.0,True
A,1,17,destination,5072c82f-a1c9-4f34-abb6-97533c31925f,神奈川県川崎市幸区鹿島田二丁目58,333,13:33,3,3.0,True
A,1,18,destination,25f7b9ba-0372-4ff7-be40-dea9da918a32,神奈川県川崎市幸区塚越二丁目7,337,13:37,3,2.0,True
A,1,19,depot,DEPOT_002,depot,344,13:44,0,,
A,2,0,depot,DEPOT_002,depot,0,08:00,0,,
A,2,1,destination,658aac5f-a32b-499f-b26a-f59a1dba4723,神奈川県川崎市川崎区小川町7,2,08:02,2,3.0,True
A,2,2,destination,c0460b4a-f522-44ca-a780-27cee06a0e0e,神奈川県横浜市神奈川区子安通三丁目,300,13:00,1,2.0,True
A,2,3,destination,47fab0b0-8975-4c73-89e0-92cec3544514,神奈川県横浜市西区宮ケ谷2,312,13:12,1,2.0,True
A,2,4,destination,0bb294bb-da72-4748-b0e1-6b4bb2e43c7d,神奈川県横浜市西区宮ケ谷3,313,13:13,1,2.0,True
A,2,5,destination,622d07a7-291a-4fb3-be00-68a54a782566,神奈川県横浜市保土ケ谷区明神台8,320,13:20,2,2.0,True
A,2,6,destination,10dd30ea-c97c-4a95-bef4-7b8dbed8cfa8,神奈川県横浜市保土ヶ谷区星川一丁目20,321,13:21,1,2.0,True
A,2,7,destination,a0c8381e-4e6d-44f7-81cf-62b3dd7acc83,神奈川県横浜市保土ケ谷区帷子町2,325,13:25,5,3.0,True
A,2,8,destination,96499d04-a1a6-42f9-979f-6a186d0e3f01,神奈川県横浜市西区岡野一丁目1,331,13:31,1,3.0,True
A,2,9,destination,78d5ef6c-209a-41e7-9c12-0a8e09223460,神奈川県横浜市西区南幸二丁目3,332,13:32,4,2.0,True
A,2,10,destination,5ba89ff0-e924-4b7e-bfb5-e4bd39267b5c,神奈川県横浜市西区南幸二丁目17,333,13:33,5,3.0,True
A,2,11,destination,0ba2b57d-6c93-4a4a-88f8-b7b9e4ffff89,神奈川県横浜市西区平沼一丁目3,335,13:35,1,2.0,True
A,2,12,destination,6377fdac-1046-499e-ae94-108d8eab1a10,神奈川県横浜市西区高島二丁目1,336,13:36,16,3.0,True
