component_id,node_count,edge_count,sample_node,sample_lon,sample_lat
1,153806,423403,1559186922,139.5073111,35.4513336
2,16742,43313,6904260748,139.31716,35.4972778
3,11558,30361,392658952,139.6719664,35.2714861
4,9298,22676,3226763264,139.1852985,35.3672554
5,9093,25336,6715670534,139.308408,35.367958
6,6301,16772,454164532,139.2189184,35.3103496
7,2588,6522,277225472,139.3252829,35.5250815
8,1983,5019,1771937798,139.6005149,35.3019555
9,1831,4838,354828290,139.6412141,35.1616738
10,1474,3937,9310584832,139.1243318,35.1636219
11,1344,3314,12985729030,139.5875853,35.2709427
12,1244,3468,1497997312,139.0915839,35.3488701
13,1100,2949,3241246720,139.267543,35.3015082
14,1039,2687,1436493824,139.0578628,35.2445142
15,806,2163,5387980802,139.2305838,35.3454092
16,769,2048,1234579456,139.1525614,35.3148896
17,624,1741,3258101762,139.1293873,35.3225673
18,584,1476,13610934272,139.0509861,35.3629157
19,372,918,2348906519,139.1338333,35.3555013
20,359,905,3380606981,139.1307199,35.1563128
21,237,596,2355910657,139.221437,35.4894272
