od_id,batch_from_point_name,batch_from_municipality_name_en,batch_to_point_name,batch_to_municipality_name_en,batch_status,master_split_status,status_match,batch_route_length_km,master_split_route_length_km,route_length_km_delta,batch_travel_time_min,master_split_travel_time_min,travel_time_min_delta,batch_path_node_count,master_split_path_node_count,path_node_count_delta,batch_error_message,master_split_error_message
kanagawa_fujisawa_001__kanagawa_hakone_001,Fujisawa Station,Fujisawa,Hakone-Yumoto Station,Hakone,success,success,True,38.88,38.88,0.0,47.14,47.14,0.0,250,250,0,,
kanagawa_fujisawa_001__kanagawa_kamakura_001,Fujisawa Station,Fujisawa,Great Buddha of Kamakura,Kamakura,success,success,True,5.83,5.83,0.0,8.88,8.88,0.0,61,61,0,,
kanagawa_fujisawa_001__kanagawa_kawasaki_001,Fujisawa Station,Fujisawa,Kawasaki Station,Kawasaki,success,success,True,31.38,31.38,0.0,39.44,39.44,0.0,273,273,0,,
kanagawa_fujisawa_001__kanagawa_odawara_001,Fujisawa Station,Fujisawa,Odawara Station,Odawara,success,success,True,32.69,32.69,0.0,37.34,37.34,0.0,184,184,0,,
kanagawa_fujisawa_001__kanagawa_yokohama_001,Fujisawa Station,Fujisawa,Yokohama Station,Yokohama,success,success,True,21.26,21.26,0.0,31.77,31.77,0.0,249,249,0,,
kanagawa_hakone_001__kanagawa_fujisawa_001,Hakone-Yumoto Station,Hakone,Fujisawa Station,Fujisawa,success,success,True,38.96,38.96,0.0,46.69,46.69,0.0,267,267,0,,
kanagawa_hakone_001__kanagawa_kamakura_001,Hakone-Yumoto Station,Hakone,Great Buddha of Kamakura,Kamakura,success,success,True,44.09,44.09,0.0,54.44,54.44,0.0,327,327,0,,
kanagawa_hakone_001__kanagawa_kawasaki_001,Hakone-Yumoto Station,Hakone,Kawasaki Station,Kawasaki,success,success,True,68.95,68.95,0.0,82.65,82.65,0.0,472,472,0,,
kanagawa_hakone_001__kanagawa_odawara_001,Hakone-Yumoto Station,Hakone,Odawara Station,Odawara,success,success,True,6.74,6.74,0.0,10.88,10.88,0.0,61,61,0,,
kanagawa_hakone_001__kanagawa_yokohama_001,Hakone-Yumoto Station,Hakone,Yokohama Station,Yokohama,success,success,True,58.82,58.82,0.0,74.98,74.98,0.0,448,448,0,,
kanagawa_kamakura_001__kanagawa_fujisawa_001,Great Buddha of Kamakura,Kamakura,Fujisawa Station,Fujisawa,success,success,True,5.7,5.7,0.0,8.58,8.58,0.0,62,62,0,,
kanagawa_kamakura_001__kanagawa_hakone_001,Great Buddha of Kamakura,Kamakura,Hakone-Yumoto Station,Hakone,success,success,True,44.12,44.12,0.0,55.36,55.36,0.0,314,314,0,,
kanagawa_kamakura_001__kanagawa_kawasaki_001,Great Buddha of Kamakura,Kamakura,Kawasaki Station,Kawasaki,success,success,True,32.88,32.88,0.0,47.4,47.4,0.0,374,374,0,,
kanagawa_kamakura_001__kanagawa_odawara_001,Great Buddha of Kamakura,Kamakura,Odawara Station,Odawara,success,success,True,37.93,37.93,0.0,45.56,45.56,0.0,248,248,0,,
kanagawa_kamakura_001__kanagawa_yokohama_001,Great Buddha of Kamakura,Kamakura,Yokohama Station,Yokohama,success,success,True,22.26,22.26,0.0,34.23,34.23,0.0,283,283,0,,
kanagawa_kawasaki_001__kanagawa_fujisawa_001,Kawasaki Station,Kawasaki,Fujisawa Station,Fujisawa,success,success,True,31.31,31.31,0.0,38.97,38.97,0.0,275,275,0,,
kanagawa_kawasaki_001__kanagawa_hakone_001,Kawasaki Station,Kawasaki,Hakone-Yumoto Station,Hakone,success,success,True,69.06,69.06,0.0,83.15,83.15,0.0,465,465,0,,
kanagawa_kawasaki_001__kanagawa_kamakura_001,Kawasaki Station,Kawasaki,Great Buddha of Kamakura,Kamakura,success,success,True,32.89,32.89,0.0,47.67,47.67,0.0,359,359,0,,
kanagawa_kawasaki_001__kanagawa_odawara_001,Kawasaki Station,Kawasaki,Odawara Station,Odawara,success,success,True,62.87,62.87,0.0,73.35,73.35,0.0,399,399,0,,
kanagawa_kawasaki_001__kanagawa_yokohama_001,Kawasaki Station,Kawasaki,Yokohama Station,Yokohama,success,success,True,11.73,11.73,0.0,14.05,14.05,0.0,107,107,0,,
kanagawa_odawara_001__kanagawa_fujisawa_001,Odawara Station,Odawara,Fujisawa Station,Fujisawa,success,success,True,32.65,32.65,0.0,36.99,36.99,0.0,200,200,0,,
kanagawa_odawara_001__kanagawa_hakone_001,Odawara Station,Odawara,Hakone-Yumoto Station,Hakone,success,success,True,6.82,6.82,0.0,11.05,11.05,0.0,66,66,0,,
kanagawa_odawara_001__kanagawa_kamakura_001,Odawara Station,Odawara,Great Buddha of Kamakura,Kamakura,success,success,True,37.78,37.78,0.0,44.75,44.75,0.0,260,260,0,,
kanagawa_odawara_001__kanagawa_kawasaki_001,Odawara Station,Odawara,Kawasaki Station,Kawasaki,success,success,True,62.63,62.63,0.0,72.95,72.95,0.0,405,405,0,,
kanagawa_odawara_001__kanagawa_yokohama_001,Odawara Station,Odawara,Yokohama Station,Yokohama,success,success,True,52.51,52.51,0.0,65.28,65.28,0.0,381,381,0,,
kanagawa_yokohama_001__kanagawa_fujisawa_001,Yokohama Station,Yokohama,Fujisawa Station,Fujisawa,success,success,True,21.98,21.98,0.0,31.62,31.62,0.0,246,246,0,,
kanagawa_yokohama_001__kanagawa_hakone_001,Yokohama Station,Yokohama,Hakone-Yumoto Station,Hakone,success,success,True,59.73,59.73,0.0,75.8,75.8,0.0,436,436,0,,
kanagawa_yokohama_001__kanagawa_kamakura_001,Yokohama Station,Yokohama,Great Buddha of Kamakura,Kamakura,success,success,True,22.99,22.99,0.0,35.49,35.49,0.0,270,270,0,,
kanagawa_yokohama_001__kanagawa_kawasaki_001,Yokohama Station,Yokohama,Kawasaki Station,Kawasaki,success,success,True,10.74,10.74,0.0,13.69,13.69,0.0,115,115,0,,
kanagawa_yokohama_001__kanagawa_odawara_001,Yokohama Station,Yokohama,Odawara Station,Odawara,success,success,True,53.54,53.54,0.0,65.99,65.99,0.0,370,370,0,,
